E:\idkwhy\IMG\center_2020_06_27_17_12_34_512.jpg,E:\idkwhy\IMG\left_2020_06_27_17_12_34_512.jpg,E:\idkwhy\IMG\right_2020_06_27_17_12_34_512.jpg,0,1,0,30.19003
E:\idkwhy\IMG\center_2020_06_27_17_12_34_581.jpg,E:\idkwhy\IMG\left_2020_06_27_17_12_34_581.jpg,E:\idkwhy\IMG\right_2020_06_27_17_12_34_581.jpg,0,1,0,30.18978
E:\idkwhy\IMG\center_2020_06_27_17_12_34_650.jpg,E:\idkwhy\IMG\left_2020_06_27_17_12_34_650.jpg,E:\idkwhy\IMG\right_2020_06_27_17_12_34_650.jpg,0,1,0,30.18969
E:\idkwhy\IMG\center_2020_06_27_17_12_34_718.jpg,E:\idkwhy\IMG\left_2020_06_27_17_12_34_718.jpg,E:\idkwhy\IMG\right_2020_06_27_17_12_34_718.jpg,0,1,0,30.18891
E:\idkwhy\IMG\center_2020_06_27_17_12_34_788.jpg,E:\idkwhy\IMG\left_2020_06_27_17_12_34_788.jpg,E:\idkwhy\IMG\right_2020_06_27_17_12_34_788.jpg,0,1,0,30.19011
E:\idkwhy\IMG\center_2020_06_27_17_12_34_854.jpg,E:\idkwhy\IMG\left_2020_06_27_17_12_34_854.jpg,E:\idkwhy\IMG\right_2020_06_27_17_12_34_854.jpg,0,1,0,30.19009
E:\idkwhy\IMG\center_2020_06_27_17_12_34_921.jpg,E:\idkwhy\IMG\left_2020_06_27_17_12_34_921.jpg,E:\idkwhy\IMG\right_2020_06_27_17_12_34_921.jpg,0,1,0,30.18971
E:\idkwhy\IMG\center_2020_06_27_17_12_34_989.jpg,E:\idkwhy\IMG\left_2020_06_27_17_12_34_989.jpg,E:\idkwhy\IMG\right_2020_06_27_17_12_34_989.jpg,0,1,0,30.19031
E:\idkwhy\IMG\center_2020_06_27_17_12_35_055.jpg,E:\idkwhy\IMG\left_2020_06_27_17_12_35_055.jpg,E:\idkwhy\IMG\right_2020_06_27_17_12_35_055.jpg,0,1,0,30.19015
E:\idkwhy\IMG\center_2020_06_27_17_12_35_123.jpg,E:\idkwhy\IMG\left_2020_06_27_17_12_35_123.jpg,E:\idkwhy\IMG\right_2020_06_27_17_12_35_123.jpg,0,1,0,30.19013
E:\idkwhy\IMG\center_2020_06_27_17_12_35_193.jpg,E:\idkwhy\IMG\left_2020_06_27_17_12_35_193.jpg,E:\idkwhy\IMG\right_2020_06_27_17_12_35_193.jpg,-0.2,1,0,30.17897
E:\idkwhy\IMG\center_2020_06_27_17_12_35_262.jpg,E:\idkwhy\IMG\left_2020_06_27_17_12_35_262.jpg,E:\idkwhy\IMG\right_2020_06_27_17_12_35_262.jpg,-0.1957512,1,0,30.18306
